text,clause_type,label
"For the avoidance of doubt, notice period for termination shall be 60 days",Termination,0
Upon termination all obligations cease except payment,Termination,0
termination without cause requires 90 days advance notice,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
The parties agree that notice period for termination shall be 60 days,Termination,0
"Notwithstanding anything to the contrary, termination without cause requires 90 days advance notice",Termination,0
The parties agree that either party terminate this agreement with 30 days written notice,Termination,0
TERMINATION WITHOUT CAUSE REQUIRES 90 DAYS ADVANCE NOTICE,Termination,0
The parties agree that either party may terminate this agreement with 30 days written notice,Termination,0
The parties agree that either party may this terminate agreement with 30 days written notice,Termination,0
upon termination all obligations cease except payment,Termination,0
For the avoidance of notice period for termination shall be 60 days,Termination,0
"For the avoidance of doubt, termination clause specifies conditions for ending agreement the",Termination,0
terminate may Party for convenience with prior notice,Termination,0
The parties agree that either party may terminate this agreement with 30 days written notice,Termination,0
It understood that the contract can be terminated immediately for material breach,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
It is understood that the contract can be terminated immediately for material breach,Termination,0
The breach can be terminated immediately for material contract,Termination,0
Notice for termination shall be 60 days,Termination,0
notice period for termination shall be 60 days,Termination,0
termination clause specifies conditions for ending the agreement,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
"For the avoidance of doubt, termination without cause requires 90 days advance notice",Termination,0
"Notwithstanding anything to the contrary, immediate termination allowed for breach of confidentiality",Termination,0
Notice period for termination will be 60 days,Termination,0
Notice period for termination shall be 60 days,Termination,0
"For the avoidance of doubt, the contract can be terminated immediately for material breach",Termination,0
The contract can be terminated immediately for material breach,Termination,0
of termination allowed for breach Immediate confidentiality,Termination,0
"Subject to the terms herein, the contract can be terminated immediately for material breach",Termination,0
"Subject to the terms herein, termination without cause requires 90 days advance notice",Termination,0
"Subject to the terms herein, the contract can be terminated immediately for material breach",Termination,0
IMMEDIATE TERMINATION ALLOWED FOR BREACH OF CONFIDENTIALITY,Termination,0
The parties agree that immediate allowed for breach of confidentiality,Termination,0
"Notwithstanding anything to the contrary, immediate termination allowed for breach of confidentiality",Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
Upon all obligations cease except payment,Termination,0
Termination without cause requires 90 days advance notice,Termination,0
"Notwithstanding anything to the contrary, immediate termination allowed for breach of confidentiality",Termination,0
EITHER PARTY MAY TERMINATE THIS AGREEMENT WITH 30 DAYS WRITTEN NOTICE,Termination,0
It is understood that upon termination all obligations cease except payment,Termination,0
Subject to the terms immediate termination allowed for breach of confidentiality,Termination,0
"Notwithstanding anything to the contrary, either party may terminate this agreement with 30 days written notice",Termination,0
Notice period for termination shall be 60 days,Termination,0
party may terminate for convenience with notice,Termination,0
"Notwithstanding anything to the contrary, the contract can be terminated immediately for material breach",Termination,0
"Notwithstanding to the contrary, party may terminate for convenience with prior notice",Termination,0
The parties agree that party terminate for convenience with prior notice,Termination,0
"Notwithstanding anything the contrary, termination clause specifies conditions for ending the agreement",Termination,0
"Subject to the terms herein, immediate termination allowed for breach of confidentiality",Termination,0
"Subject to the terms herein, the contract can be terminated immediately for material",Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
It is understood that upon termination all obligations cease except payment,Termination,0
"Notwithstanding anything to the contrary, immediate termination allowed for breach of confidentiality",Termination,0
It is understood obligations upon termination all that cease except payment,Termination,0
Notice for period termination shall be 60 days,Termination,0
"For the avoidance of doubt, either party may terminate this agreement with 30 days written notice",Termination,0
Either party may terminate this agreement with 30 days written notice,Termination,0
The contract can be terminated immediately for material breach,Termination,0
termination Immediate allowed for breach of confidentiality,Termination,0
The contract can be terminated immediately for material breach,Termination,0
TERMINATION WITHOUT CAUSE REQUIRES 90 DAYS ADVANCE NOTICE,Termination,0
Termination without cause requires 90 days advance notice,Termination,0
Notice period for termination shall be 60 days,Termination,0
parties agree that notice period for termination shall be 60 days,Termination,0
"For the avoidance of doubt, upon termination except obligations cease all payment",Termination,0
Notice period for termination will be 60 days,Termination,0
The contract can be terminated immediately for material breach,Termination,0
"For the avoidance of doubt, either party may terminate this agreement with 30 days written notice",Termination,0
"Notwithstanding anything to the contrary, either party may terminate this agreement with 30 days written notice",Termination,0
The parties agree that the contract can be terminated immediately for material breach,Termination,0
It is understood that party may terminate for convenience with prior,Termination,0
Upon all termination obligations cease except payment,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
Immediate allowed for breach of confidentiality,Termination,0
The contract can be terminated immediately material for breach,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
TERMINATION WITHOUT CAUSE REQUIRES 90 ADVANCE NOTICE,Termination,0
termination without cause requires 90 days advance notice,Termination,0
"Notwithstanding anything to the contrary, party may terminate for convenience with prior notice",Termination,0
either party may terminate this agreement with 30 days written notice,Termination,0
"Notwithstanding anything to the contrary, notice period for termination shall be 60 days",Termination,0
Notice period for termination shall be 60 days,Termination,0
The parties agree that termination clause specifies conditions for ending the agreement,Termination,0
"For the avoidance of doubt, notice period for termination shall be 60 days",Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
"Subject to the terms herein, immediate termination allowed for breach of confidentiality",Termination,0
Party may terminate for convenience with prior notice,Termination,0
Notice period for shall be 60 days,Termination,0
Termination clause specifies for ending the agreement,Termination,0
either party may 30 this agreement with terminate days written notice,Termination,0
Termination without cause requires 90 days advance notice,Termination,0
"Notwithstanding to the contrary, termination clause specifies conditions for ending the agreement",Termination,0
"Notwithstanding anything to the contrary, immediate termination allowed for breach of confidentiality",Termination,0
"For the avoidance of doubt, party may terminate for convenience with prior notice",Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
Termination without cause requires 90 days advance notice,Termination,0
"For the avoidance of doubt, immediate termination allowed for breach of confidentiality",Termination,0
PARTY MAY TERMINATE FOR CONVENIENCE WITH PRIOR,Termination,0
"Subject to the terms herein, party may terminate for convenience with prior notice",Termination,0
It is understood that termination without cause requires 90 days advance notice,Termination,0
The parties agree that termination clause specifies conditions for the agreement,Termination,0
Termination without cause requires 90 days advance notice,Termination,0
It is understood that upon termination all obligations cease except payment,Termination,0
"Notwithstanding anything to the contrary, upon termination all obligations cease except payment",Termination,0
"to the terms herein, termination clause specifies conditions for ending the agreement",Termination,0
"Notwithstanding anything to the contrary, termination clause for conditions specifies ending the agreement",Termination,0
the contract be can terminated immediately for material breach,Termination,0
"Notwithstanding anything to the contrary, party may terminate for convenience with prior notice",Termination,0
It is understood that the contract can be terminated immediately for material breach,Termination,0
notice for termination shall be 60 days,Termination,0
"For the avoidance of doubt, notice period for termination shall be 60 days",Termination,0
Termination without cause requires notice days advance 90,Termination,0
It is understood that upon termination all obligations cease except payment,Termination,0
It is understood that termination clause specifies conditions for ending the agreement,Termination,0
termination clause specifies conditions for the agreement,Termination,0
"For the avoidance of doubt, contract can be terminated immediately for material breach",Termination,0
agreement clause specifies conditions for ending the termination,Termination,0
"Subject to the terms herein, termination without cause requires 90 days advance notice",Termination,0
The contract can be terminated immediately for material breach,Termination,0
Immediate termination allowed for of confidentiality,Termination,0
Upon termination all obligations cease except payment,Termination,0
Upon termination all obligations cease payment,Termination,0
"the avoidance of doubt, termination clause specifies conditions for ending the agreement",Termination,0
TERMINATION CLAUSE SPECIFIES CONDITIONS FOR ENDING THE AGREEMENT,Termination,0
of is understood that immediate termination allowed for breach It confidentiality,Termination,0
Either party may terminate this agreement with 30 days written notice,Termination,0
It is understood that notice period for termination shall be 60 days,Termination,0
The parties agree that notice period for termination shall be 60 days,Termination,0
the contract can be terminated immediately for material breach,Termination,0
"For the avoidance of doubt, either may terminate this agreement with 30 days written notice",Termination,0
Notice period for termination shall be 60 days,Termination,0
Upon termination all obligations cease except payment,Termination,0
"For the avoidance of doubt, either party may terminate this with agreement 30 days written notice",Termination,0
"Subject to the terms herein, either party may terminate this agreement with 30 days written notice",Termination,0
Notice period for termination will be 60 days,Termination,0
Party may terminate for convenience with notice prior,Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
Party for terminate can convenience with prior notice,Termination,0
"Subject to the terms herein, requires without cause termination 90 days advance notice",Termination,0
It is understood that either party may terminate this agreement with 30 days written notice,Termination,0
"Subject to the terms herein, immediate breach allowed for termination of confidentiality",Termination,0
Upon all obligations cease except payment,Termination,0
Company shall not be liable for indirect or consequential damages,Liability,1
It is understood that aggregate liability shall not exceed contract price,Liability,1
MAXIMUM LIABILITY IS CAPPED AT THE FEES PAID,Liability,1
Company will not be liable for indirect or consequential damages,Liability,1
Maximum liability is capped at the fees paid,Liability,1
Maximum liability is capped at the fees paid,Liability,1
No liability for loss of profits or revenue,Liability,1
NO LIABILITY FOR LOSS OF PROFITS OR,Liability,1
limitation of liability shall not exceed the contract value,Liability,1
AGGREGATE LIABILITY SHALL NOT EXCEED CONTRACT PRICE,Liability,1
Neither party liable for damages beyond direct losses,Liability,1
company shall not be liable for indirect consequential damages,Liability,1
Maximum liability is capped at the fees paid,Liability,1
MAXIMUM LIABILITY IS CAPPED AT THE FEES PAID,Liability,1
"Notwithstanding anything to the contrary, company shall not be liable for indirect or consequential damages",Liability,1
COMPANY SHALL NOT BE LIABLE FOR INDIRECT OR CONSEQUENTIAL DAMAGES,Liability,1
company shall not be liable for indirect or consequential damages,Liability,1
maximum liability is capped at the fees paid,Liability,1
Maximum liability is capped at the fees paid,Liability,1
"Notwithstanding anything or the contrary, no liability for loss of profits to revenue",Liability,1
party liable for damages beyond direct losses,Liability,1
Neither party liable for damages beyond direct,Liability,1
The parties agree that maximum liability is capped at the fees paid,Liability,1
Company shall not be liable for indirect or consequential damages,Liability,1
Limitation of liability shall not exceed the contract value,Liability,1
"Notwithstanding anything to the contrary, limitation of liability shall not exceed the contract value",Liability,1
liability limited to amount paid in preceding 12 months,Liability,1
Liability limited to amount paid in preceding 12 months,Liability,1
"For the avoidance of doubt, no liability for loss of profits or revenue",Liability,1
Liability limited to amount paid in preceding 12 months,Liability,1
"For the avoidance of doubt, no liability for loss of profits or revenue",Liability,1
"Notwithstanding anything to the contrary, maximum liability is capped at the fees paid",Liability,1
The parties agree that company shall not be liable for indirect or consequential damages,Liability,1
Maximum liability is capped at the fees paid,Liability,1
"For the avoidance of doubt, liability limited to amount paid in preceding 12 months",Liability,1
Aggregate liability will not exceed contract price,Liability,1
"direct to the terms herein, neither party liable for damages beyond Subject losses",Liability,1
Company shall not be liable for indirect or consequential damages,Liability,1
"Subject to the terms herein, no liability for loss of profits or revenue",Liability,1
neither party liable for damages beyond direct losses,Liability,1
Neither party liable for losses beyond direct damages,Liability,1
No liability for loss of profits or revenue,Liability,1
Maximum liability is capped at the fees paid,Liability,1
Liability limited to amount paid in preceding 12 months,Liability,1
"For the avoidance of doubt, maximum the is capped at liability fees paid",Liability,1
Company will not be liable for indirect or consequential damages,Liability,1
exceed liability shall not aggregate contract price,Liability,1
LIABILITY LIMITED TO AMOUNT PAID IN PRECEDING 12 MONTHS,Liability,1
Maximum liability is capped at the fees paid,Liability,1
Liability limited to amount paid in preceding 12 months,Liability,1
Liability limited to amount paid in preceding 12 months,Liability,1
"Notwithstanding anything to the contrary, aggregate liability shall not exceed contract price",Liability,1
Aggregate liability shall not exceed contract price,Liability,1
"For the avoidance of doubt, neither party liable for damages beyond direct losses",Liability,1
"Subject to the terms herein, neither party liable for damages beyond direct losses",Liability,1
LIMITATION OF LIABILITY SHALL NOT EXCEED THE CONTRACT VALUE,Liability,1
"Subject to the terms herein, company shall not be liable for indirect or consequential damages",Liability,1
Maximum liability is capped at the paid fees,Liability,1
"For the avoidance of doubt, company shall not be liable for indirect or consequential damages",Liability,1
The parties agree that liability limited to amount paid in preceding 12 months,Liability,1
LIABILITY LIMITED TO PAID AMOUNT IN PRECEDING 12 MONTHS,Liability,1
"For the avoidance of doubt, aggregate liability shall not exceed contract price",Liability,1
Maximum liability is capped at the fees paid,Liability,1
"Subject to the terms herein, company shall not be liable for indirect or consequential damages",Liability,1
The parties agree that neither party liable for damages beyond direct losses,Liability,1
"Subject to the terms herein, limitation of liability shall not exceed the contract value",Liability,1
"For the avoidance of doubt, maximum liability is capped at the fees paid",Liability,1
"Notwithstanding anything to the contrary, liability limited to amount paid in preceding 12 months",Liability,1
"For the avoidance of doubt, no liability for loss of profits or revenue",Liability,1
COMPANY SHALL NOT BE LIABLE FOR INDIRECT OR CONSEQUENTIAL DAMAGES,Liability,1
"Notwithstanding anything to the contrary, liability limited to amount paid in preceding 12 months",Liability,1
No liability for loss of profits or revenue,Liability,1
It is understood that no liability for loss of profits or revenue,Liability,1
LIMITATION OF LIABILITY SHALL NOT EXCEED THE CONTRACT VALUE,Liability,1
The parties agree that no liability for loss profits or revenue,Liability,1
It is understood that company shall not be liable for indirect or consequential damages,Liability,1
